Timestamp,I consent to participate in this research study on deepfake cybersecurity threats and understand that all data will remain anonymous.,Are you currently working in one of the following fields?,How familiar are you with the concept of deepfakes?,Have you or your organisation experienced or investigated a deepfake-related incident?,Which of the following do you believe deepfakes can be used for? (Select all that apply),"Does your organisation currently have any policies, protocols or training programs related to deepfakes or synthetic media threats?",How confident are you in your organisation’s ability to detect or respond to deepfake threats?,Has your team received any formal training or awareness sessions related to deepfakes in the last 12 months?,Which of the following tools or methods have you heard of for detecting or verifying deepfakes? (Select all that apply),How effective do you believe current deepfake detection technologies are?,What do you perceive as the main barriers to implementing deepfake detection tools in organisations?,Are you aware of any national or international legal frameworks addressing the regulation of deepfakes or synthetic media?,How sufficient do you believe current legal frameworks are in addressing deepfake-related threats?,"Do you think there should be mandatory detection or labelling of synthetic content shared online (e.g., videos, images)?",Country of residence,Job title / role,Years of professional experience in your field
2025/07/28 12:18:58 PM GMT,Yes,,3,No,Pornographic or non-consensual content;Political manipulation,No,2,No,"AI-based forensic tools (e.g., Deepware, Microsoft Video Authenticator)",3,Cost,No,3,Yes,Ghana ,Teaching ,3–5
2025/07/28 12:34:01 PM GMT,Yes,Cybersecurity;IT Governance / Risk / Compliance;Technology Policy / Regulation,3,No,Financial fraud / impersonation;Disinformation or fake news;Pornographic or non-consensual content;Political manipulation;Phishing and social engineering;Bypassing biometric security,In development,2,Yes,"AI-based forensic tools (e.g., Deepware, Microsoft Video Authenticator);Blockchain-based media verification;Digital watermarking or metadata tracing",3,Lack of awareness or training,Yes,3,Yes,Ghana,Blockchain Engineer,3–5
2025/07/28 2:11:26 PM GMT,Yes,Technology Policy / Regulation,1,No,Financial fraud / impersonation;Disinformation or fake news;Pornographic or non-consensual content;Political manipulation;Phishing and social engineering;Bypassing biometric security,Yes,3,Yes,"AI-based forensic tools (e.g., Deepware, Microsoft Video Authenticator);Blockchain-based media verification;Digital watermarking or metadata tracing;Browser or platform-level filters (e.g., Meta, YouTube)",4,Lack of regulation or compliance pressure,No,2,Yes,Ghana,IT Instructor ,6–10
2025/07/28 5:22:14 PM GMT,Yes,Cybersecurity,5,No,Financial fraud / impersonation;Disinformation or fake news;Pornographic or non-consensual content;Political manipulation;Phishing and social engineering;Bypassing biometric security,Not sure,1,No,"AI-based forensic tools (e.g., Deepware, Microsoft Video Authenticator)",3,Lack of regulation or compliance pressure,No,2,Yes,UK,Security Analist,0–2
2025/07/28 5:34:31 PM GMT,Yes,Information Technology Researcher,5,No,Financial fraud / impersonation;Disinformation or fake news;Pornographic or non-consensual content;Political manipulation;Phishing and social engineering,Yes,5,No,"Browser or platform-level filters (e.g., Meta, YouTube)",2,Lack of regulation or compliance pressure,No,1,Yes,USA,Information Technology Researcher ,0–2
2025/07/28 5:37:40 PM GMT,Yes,Cybersecurity,5,Yes,Financial fraud / impersonation;Disinformation or fake news;Political manipulation;Phishing and social engineering,In development,4,Yes,"AI-based forensic tools (e.g., Deepware, Microsoft Video Authenticator);Blockchain-based media verification;Digital watermarking or metadata tracing",3,Lack of awareness or training,Somewhat,1,Yes,UK,Cybersecurity Analyst,3–5
2025/07/28 7:05:38 PM GMT,Yes,IT Governance / Risk / Compliance,4,No,Financial fraud / impersonation;Disinformation or fake news;Pornographic or non-consensual content;Political manipulation;Phishing and social engineering,Yes,4,,"Browser or platform-level filters (e.g., Meta, YouTube)",4,Lack of awareness or training,Yes,4,Yes,Ghana ,Teacher,6–10
2025/07/28 9:04:57 PM GMT,Yes,Cybersecurity,4,Not sure,Financial fraud / impersonation;Disinformation or fake news;Pornographic or non-consensual content;Political manipulation;Phishing and social engineering;Bypassing biometric security,Not sure,3,No,"AI-based forensic tools (e.g., Deepware, Microsoft Video Authenticator);Digital watermarking or metadata tracing;Browser or platform-level filters (e.g., Meta, YouTube)",3,Technical complexity,No,3,Yes,UK,Software engineer,10+
2025/07/28 9:59:12 PM GMT,Yes,Cybersecurity,4,No,Financial fraud / impersonation;Disinformation or fake news;Pornographic or non-consensual content;Political manipulation;Phishing and social engineering;Bypassing biometric security,Yes,4,Yes,"AI-based forensic tools (e.g., Deepware, Microsoft Video Authenticator);Digital watermarking or metadata tracing",4,Technical complexity,Yes,4,Yes,UK,Cybersecurity analyst,0–2
2025/07/28 10:10:18 PM GMT,Yes,Educational Technology,2,No,Financial fraud / impersonation;Disinformation or fake news;Political manipulation;Phishing and social engineering,In development,3,No,"AI-based forensic tools (e.g., Deepware, Microsoft Video Authenticator);Blockchain-based media verification",5,Tools not accessible,No,4,Yes,Switzerland,Business Development Manager,3–5
